Layer name, Layer Type, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Stride H, Stride W, MAC Cycles,

AlphaGoZero,
Inc3a_5x5_68,	GEMM,	28,	28,	5,	5,	16,	32,	1,	1,	32,	
Inc3a_pp_69,	GEMM,	28,	28,	1,	1,	192,	32,	1,	1,	32,	
Inc3b_1x1_70,	GEMM,	28,	28,	1,	1,	256,	128,	1,	1,	32,	
Inc3b_3x3red_71,	GEMM,	28,	28,	1,	1,	256,	128,	1,	1,	32,	
Inc3b_3x3_72,	GEMM,	28,	28,	3,	3,	128,	192,	1,	1,	32,	
Inc3b_5x5red_73,	GEMM,	28,	28,	1,	1,	256,	32,	1,	1,	32,	
Inc3b_5x5_74,	GEMM,	28,	28,	5,	5,	32,	96,	1,	1,	32,	
Inc3b_pp_75,	GEMM,	28,	28,	1,	1,	256,	64,	1,	1,	32,	
Inc4a_1x1_76,	GEMM,	14,	14,	1,	1,	480,	192,	1,	1,	32,	
Inc4a_3x3red_77,	GEMM,	14,	14,	1,	1,	480,	96,	1,	1,	32,	
Inc4a_3x3_78,	GEMM,	14,	14,	3,	3,	96,	208,	1,	1,	32,	
Inc4a_5x5red_79,	GEMM,	14,	14,	1,	1,	480,	16,	1,	1,	32,	
Inc4a_5x5_80,	GEMM,	14,	14,	5,	5,	16,	48,	1,	1,	32,	
Inc4a_pp_81,	GEMM,	14,	14,	1,	1,	480,	64,	1,	1,	32,	
Inc4b_1x1_82,	GEMM,	14,	14,	1,	1,	512,	160,	1,	1,	32,	
Inc4b_3x3red_83,	GEMM,	14,	14,	1,	1,	512,	112,	1,	1,	32,	
Inc4b_3x3_84,	GEMM,	14,	14,	3,	3,	112,	224,	1,	1,	32,	
Inc4b_5x5red_85,	GEMM,	14,	14,	1,	1,	512,	24,	1,	1,	32,	
Inc4b_5x5_86,	GEMM,	14,	14,	5,	5,	24,	64,	1,	1,	32,	
Inc4b_pp_87,	GEMM,	14,	14,	1,	1,	512,	64,	1,	1,	32,	
Inc4c_1x1_88,	GEMM,	14,	14,	1,	1,	512,	128,	1,	1,	32,	
Inc4c_3x3red_89,	GEMM,	14,	14,	1,	1,	512,	128,	1,	1,	32,	
Inc4c_3x3_90,	GEMM,	14,	14,	3,	3,	128,	256,	1,	1,	32,	
Inc4c_5x5red_91,	GEMM,	14,	14,	1,	1,	512,	24,	1,	1,	32,	
Inc4c_5x5_92,	GEMM,	14,	14,	1,	1,	24,	64,	1,	1,	32,	
Inc4c_pp_93,	GEMM,	14,	14,	1,	1,	512,	64,	1,	1,	32,	
Inc4d_1x1_94,	GEMM,	14,	14,	1,	1,	512,	112,	1,	1,	32,	
Inc4d_3x3red_95,	GEMM,	14,	14,	1,	1,	512,	144,	1,	1,	32,	
Inc4d_3x3_96,	GEMM,	14,	14,	3,	3,	144,	288,	1,	1,	32,	
Inc4d_5x5red_97,	GEMM,	14,	14,	1,	1,	512,	32,	1,	1,	32,	
Inc4d_5x5_98,	GEMM,	14,	14,	5,	5,	32,	64,	1,	1,	32,	
Inc4d_pp_99,	GEMM,	14,	14,	1,	1,	512,	64,	1,	1,	32,	
Inc4e_1x1_100,	GEMM,	14,	14,	1,	1,	528,	256,	1,	1,	32,	
Inc4e_3x3red_101,	GEMM,	14,	14,	1,	1,	528,	160,	1,	1,	32,	
Inc4e_3x3_102,	GEMM,	14,	14,	3,	3,	160,	320,	1,	1,	32,	
Inc4e_5x5red_103,	GEMM,	14,	14,	1,	1,	528,	32,	1,	1,	32,	
Inc4e_5x5_104,	GEMM,	14,	14,	5,	5,	32,	128,	1,	1,	32,	
Inc4e_pp_105,	GEMM,	14,	14,	1,	1,	528,	128,	1,	1,	32,	
Inc5a_1x1_106,	GEMM,	7,	7,	1,	1,	832,	256,	1,	1,	32,	
Inc5a_3x3red_107,	GEMM,	7,	7,	1,	1,	532,	160,	1,	1,	32,	
Inc5a_3x3_108,	GEMM,	7,	7,	3,	3,	160,	320,	1,	1,	32,	
Inc5a_5x5red_109,	GEMM,	7,	7,	1,	1,	832,	32,	1,	1,	32,	
Inc5a_5x5_110,	GEMM,	7,	7,	5,	5,	32,	128,	1,	1,	32,	
Inc5a_pp_111,	GEMM,	7,	7,	1,	1,	832,	128,	1,	1,	32,	
Inc5b_1x1_112,	GEMM,	7,	7,	1,	1,	832,	384,	1,	1,	32,	
Inc5b_3x3red_113,	GEMM,	7,	7,	1,	1,	832,	192,	1,	1,	32,	
Inc5b_3x3_114,	GEMM,	7,	7,	3,	3,	192,	384,	1,	1,	32,	
Inc5b_5x5red_115,	GEMM,	7,	7,	1,	1,	832,	48,	1,	1,	32,	
Inc5b_5x5_116,	GEMM,	7,	7,	5,	5,	32,	128,	1,	1,	32,	
Inc5b_pp_117,	GEMM,	7,	7,	1,	1,	832,	128,	1,	1,	32,	
FC6_118,	GEMM,	1,	1,	1,	1,	1024,	1000,	1,	1,	32,	

Neural Collaborative Filtering(Recommendation),
MF_Embedding_user_121,	GEMM,	1,	1,	1,	1,	138000,	8,	1,	1,	32,	
MF_Embedding_item_122,	GEMM,	1,	1,	1,	1,	138000,	8,	1,	1,	32,	
MLP_Embedding_user_123,	GEMM,	1,	1,	1,	1,	138000,	32,	1,	1,	32,	
MLP_Embedding_item_124,	GEMM,	1,	1,	1,	1,	138000,	32,	1,	1,	32,	
MLP_FC1_125,	GEMM,	1,	1,	1,	1,	64,	32,	1,	1,	32,	
MLP_FC2_126,	GEMM,	1,	1,	1,	1,	32,	16,	1,	1,	32,	
MLP_FC3_127,	GEMM,	1,	1,	1,	1,	16,	8,	1,	1,	32,	
Predict_FC_128,	GEMM,	1,	1,	1,	1,	16,	1,	1,	1,	32,	

Resnet50,
Conv1_131,	GEMM,	224,	224,	7,	7,	3,	64,	2,	2,	32,	
CB2a_1_132,	GEMM,	56,	56,	1,	1,	64,	64,	1,	1,	32,	
CB2a_2_133,	GEMM,	56,	56,	3,	3,	64,	64,	1,	1,	32,	
CB2a_3_134,	GEMM,	56,	56,	1,	1,	64,	256,	1,	1,	32,	
CB2s_135,	GEMM,	56,	56,	1,	1,	64,	256,	1,	1,	32,	
IB2b_1_136,	GEMM,	56,	56,	1,	1,	256,	64,	1,	1,	32,	
IB2b_2_137,	GEMM,	56,	56,	3,	3,	64,	64,	1,	1,	32,	
IB2b_3_138,	GEMM,	56,	56,	1,	1,	64,	256,	1,	1,	32,	
